protocol,region,species_id,taxon_group,seed,n_presence,n_PA_test,lambda_s,lambda_selection,lambda_source,background_scheme,objective,remediation,integration_support,n_background,model,converged,runtime_s,skip_reason,auc_roc,auprc,prg,cor,pos_weight,maxnet_max_bg,maxnet_bg_n,tgb_tgb_group,tgb_tgb_n_other_sites,tgb_tgb_n_used,tgb_tgb_excludes_focal_presence
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,gam_ipp_same_basis,True,11.320874459997867,,0.640565749235474,0.3127591472321106,0.29928840782177807,0.18141779809037611,,,,,,,
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,bce_pos_weight,primary,full_background_50k,50000,additive_kan_bce,True,5.778059914999176,,0.7024381428968586,0.34709707352731933,0.4438849568035463,0.2187292486883521,724.6376811594203,,,,,,
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg10k,True,4.501999792992137,,0.7380191826522102,0.370925946161377,0.5079044512656784,0.2798834773828537,,10000.0,10000.0,,,,
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg50k,True,19.58376202400541,,0.7389630247428414,0.3718123982518157,0.5079381902931265,0.27987413040017306,,50000.0,50000.0,,,,
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,270,additive_kan_ipp,True,0.47293989900208544,,0.7411009174311927,0.3618174044654262,0.5004297681103089,0.25384852986803136,,,,ot,270.0,270.0,True
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,270,gam_ipp_same_basis,True,3.8131159909971757,,0.7410494856825132,0.3617243238231092,0.5001627009108451,0.2564180285087076,,,,ot,270.0,270.0,True
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,bce_pos_weight,primary,tgb_other_po_same_group,270,additive_kan_bce,True,0.5924040989921195,,0.7365137614678899,0.3641068209297836,0.4902745720774079,0.2896990679562514,3.9130434782608696,,,ot,270.0,270.0,True
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,270,maxnet_bg10k,False,1.3360169970110292,,,,,,,10000.0,270.0,ot,270.0,270.0,True
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,270,maxnet_bg50k,False,1.2424592970055528,,,,,,,50000.0,270.0,ot,270.0,270.0,True
tgb_closure_v1,NSW,nsw24,ot,0,68,2075,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,additive_kan_ipp,True,5.328066978996503,,0.6774279769158255,0.136112512644026,0.35051878134984393,0.15563893529012154,,,,,,,
