species_id,ours_auc,valavi_auc,valavi_auprc,n_eval,n_pos,region,delta_auc
nz07,0.6980391275914914,0.8700410345498929,0.0124269806848754,19120.0,42.0,NZ,-0.1720019069584014
nz08,0.8308355143998658,0.7905214212514723,0.2308705990884487,19120.0,1767.0,NZ,0.0403140931483935
nz09,0.7387516457422297,0.7640360750615194,0.036637817586037,19120.0,216.0,NZ,-0.0252844293192896
nz10,0.6661071175716309,0.6321134788064553,0.0777926770574434,19120.0,1032.0,NZ,0.0339936387651755
nz11,0.8135151608738453,0.7347748952755812,0.1077653603823682,19120.0,741.0,NZ,0.0787402655982641
nz12,0.5677946939631612,0.573696806665106,0.2367248713998,19120.0,3727.0,NZ,-0.0059021127019448
nz13,0.6623658727179187,0.7063902223334584,0.2430620147008332,19120.0,2745.0,NZ,-0.0440243496155396
nz14,0.4648473895379982,0.4400735437451593,0.3034585829505578,19120.0,6458.0,NZ,0.0247738457928388
nz15,0.901729198836999,0.913637438615528,0.0235733366474087,19120.0,49.0,NZ,-0.011908239778529
nz16,0.5774498573206456,0.5653261389474268,0.0803692841756195,19120.0,1088.0,NZ,0.0121237183732187
nz17,0.7340738193668155,0.7160134114673482,0.4642698220911525,19120.0,5537.0,NZ,0.0180604078994672
nz18,0.9538083046222252,0.9514223325009744,0.291842388621694,19120.0,510.0,NZ,0.0023859721212506
nz19,0.7073219159388646,0.668622202510917,0.0658795251316205,19120.0,800.0,NZ,0.0386997134279476
nz20,0.9596369431099244,0.9545474940094196,0.2910827488331111,19120.0,477.0,NZ,0.0050894491005049
nz21,0.6789356985631521,0.7408532615433479,0.105155405688744,19120.0,842.0,NZ,-0.0619175629801957
nz22,0.5566462573821996,0.6709406652939032,0.0535851803624578,19120.0,689.0,NZ,-0.1142944079117035
nz23,0.3532432517292773,0.4405903294077143,0.1348848943154745,19120.0,3119.0,NZ,-0.087347077678437
nz24,0.7292287513116474,0.7610431969220008,0.0306288643430521,19120.0,60.0,NZ,-0.0318144456103534
nz25,0.8670212222982145,0.8412129266711297,0.1078010746062368,19120.0,489.0,NZ,0.0258082956270848
nz26,0.8626867969939803,0.8759428302620699,0.1481106385796252,19120.0,238.0,NZ,-0.0132560332680895
nz27,0.5371328359077905,0.5634998697612128,0.0658191652663746,19120.0,1102.0,NZ,-0.0263670338534223
nz28,0.7679698809982967,0.700528862648619,0.0157139265311662,19120.0,69.0,NZ,0.0674410183496776
