region,species_id,seed,auc_additive,auc_deep2,delta_auc
AWT,awt40,2,0.7527448397013614,0.769433465085639,0.016688625384277622
CAN,can01,0,0.7348467301109922,0.6945181495438739,-0.0403285805671183
CAN,can01,1,0.7348412729692612,0.6954834572811913,-0.03935781568806984
CAN,can01,2,0.7348631015361855,0.6913229930603348,-0.04354010847585066
CAN,can02,0,0.7029528012314255,0.7035399186195901,0.0005871173881646374
CAN,can02,1,0.7030799404810179,0.7041248093460081,0.0010448688649902227
CAN,can02,2,0.7032828175914307,0.7038978152935784,0.0006149977021476793
CAN,can03,0,0.4815310562790562,0.4704288165474842,-0.011102239731571983
CAN,can03,1,0.4814130979308669,0.475724325801368,-0.00568877212949892
CAN,can03,2,0.4813805824557574,0.4710862035505668,-0.010294378905190582
CAN,can04,0,0.5666894853624753,0.5605092411186692,-0.006180244243806143
CAN,can04,1,0.5666537290236344,0.5640273682642555,-0.002626360759378943
CAN,can04,2,0.566663286017426,0.5655365494045499,-0.0011267366128761003
CAN,can05,0,0.6313888135315877,0.628401133373811,-0.0029876801577767287
CAN,can05,1,0.6314281715735035,0.6278724265481619,-0.0035557450253416167
CAN,can05,2,0.6314467740615862,0.6295166798003677,-0.0019300942612184846
CAN,can06,0,0.8841509693886833,0.8858495764529134,0.0016986070642300843
CAN,can06,1,0.8841522690115329,0.8856962209566784,0.0015439519451455608
CAN,can06,2,0.8841457708972855,0.8857313107736136,0.0015855398763280348
CAN,can07,0,0.6681587824655671,0.6621776643900538,-0.005981118075513381
CAN,can07,1,0.6679991200640168,0.6622308148856821,-0.0057683051783347095
CAN,can07,2,0.6682207913771335,0.6626248034802606,-0.005595987896872878
CAN,can08,0,0.5416822545510626,0.5431725548280139,0.0014903002769512952
CAN,can08,1,0.5417464481471248,0.5446481400564185,0.00290169190929368
CAN,can08,2,0.5418420317048251,0.5441089845331346,0.0022669528283094653
CAN,can09,0,0.7124999574197021,0.7109687699062892,-0.0015311875134128572
CAN,can09,1,0.7129274636108773,0.7110322145501988,-0.0018952490606785055
CAN,can09,2,0.7121771987614243,0.7108163324397148,-0.0013608663217095085
CAN,can10,0,0.6698061370723242,0.6629696243005595,-0.006836512771764669
CAN,can10,1,0.6695809118470989,0.6636176344209918,-0.005963277426107139
CAN,can10,2,0.669608937474645,0.6623795258087825,-0.007229411665862551
CAN,can11,0,0.5955062493874792,0.5969827772348815,0.0014765278474022647
CAN,can11,1,0.5954949463942879,0.5967766353161736,0.0012816889218857375
CAN,can11,2,0.5954965768455475,0.5967798741855675,0.0012832973400200842
CAN,can12,0,0.5300757309881022,0.5174345234772308,-0.012641207510871388
CAN,can12,1,0.5300813915856973,0.5148987319090229,-0.015182659676674426
CAN,can12,2,0.5300778000341198,0.5157580106239656,-0.014319789410154105
CAN,can13,0,0.3832927707075892,0.4424445840782106,0.059151813370621364
CAN,can13,1,0.3832922790393983,0.444149689364037,0.060857410324638705
CAN,can13,2,0.3832927707075891,0.4447305461646931,0.061437775457103994
CAN,can14,0,0.3891681074024415,0.5171747759508856,0.12800666854844406
CAN,can14,1,0.3892102709759367,0.5027820019758662,0.11357173099992951
CAN,can14,2,0.3892051548937972,0.5058712335050455,0.11666607861124828
CAN,can15,0,0.6810392350826662,0.6787891767461237,-0.00225005833654246
CAN,can15,1,0.6810140966854823,0.67880120194751,-0.0022128947379722597
CAN,can15,2,0.6810430716945369,0.6791041797595818,-0.0019388919349551115
CAN,can16,0,0.4970595482819708,0.4974114123847284,0.00035186410275761526
CAN,can16,1,0.4970595482819707,0.4972164996514658,0.00015695136949511745
CAN,can16,2,0.4971729883807147,0.4973747829986369,0.00020179461792219078
CAN,can17,0,0.4704020263316547,0.4740610831333605,0.0036590568017058067
CAN,can17,1,0.4703292214971682,0.4783009211653169,0.007971699668148702
CAN,can17,2,0.4704714548879821,0.4786010109067903,0.008129556018808215
CAN,can18,0,0.7808774181386137,0.7755798851346304,-0.005297533003983279
CAN,can18,1,0.7810227159164094,0.7760031603370758,-0.0050195555793335345
CAN,can18,2,0.7809442942326056,0.7761333163577412,-0.004810977874864397
CAN,can19,0,0.4641120162232762,0.4628030407185903,-0.0013089755046858942
CAN,can19,1,0.4641034233862652,0.4608496024380742,-0.0032538209481909885
CAN,can19,2,0.4641206090602873,0.462593948351321,-0.0015266607089662876
CAN,can20,0,0.6239813502920393,0.6182980016953685,-0.005683348596670745
CAN,can20,1,0.6240023909378184,0.618404351107303,-0.005598039830515433
CAN,can20,2,0.6238930941980705,0.6152381023335141,-0.008654991864556427
NSW,nsw01,0,0.701574074074074,0.6650740740740742,-0.036499999999999866
NSW,nsw01,1,0.7016666666666668,0.6587037037037036,-0.0429629629629632
NSW,nsw01,2,0.7016111111111111,0.6583518518518517,-0.04325925925925933
