region,species_id,n_seed,auc_additive,auc_deep2,delta_auc,delta_sd
NSW,nsw33,3,0.533899190559686,0.5210025109302197,-0.012896679629466426,0.0015139941187432132
NSW,nsw34,3,0.6110652621362237,0.5861657419281117,-0.024899520208112074,0.004356378997977262
NSW,nsw35,3,0.39443436176648516,0.43856224817085004,0.044127886404364845,0.02149925015772844
NSW,nsw36,3,0.8556024159116943,0.8912058731646361,0.035603457252941784,0.005562634020927894
NSW,nsw37,3,0.5627406694312796,0.6009659689310163,0.038225299499736666,0.0010932679486249542
NSW,nsw38,3,0.40886992020783075,0.33046741304303,-0.07840250716480074,0.0337862549949953
NSW,nsw39,3,0.6214279426917481,0.6227806514749057,0.00135270878315763,0.00045371266516669104
NSW,nsw40,3,0.6393381692402853,0.6237497068419993,-0.015588462398286115,0.0010572045611779357
NSW,nsw41,3,0.6147984384327273,0.5923073265820378,-0.0224911118506896,0.008991420037822839
NSW,nsw42,3,0.8845303867403315,0.7353591160220995,-0.149171270718232,0.07690232654217868
NSW,nsw43,3,0.6426188694707213,0.6337448559670782,-0.008874013503643141,0.0049173037597898634
NSW,nsw44,3,0.994074074074074,0.9631687242798354,-0.030905349794238684,0.0024515837051205117
NSW,nsw45,3,0.7000570186156381,0.6240656152684574,-0.07599140334718064,0.004971589999432222
NSW,nsw46,3,0.977366255144033,0.9344473542004407,-0.0429189009435923,0.0019661461181829484
NSW,nsw47,3,0.9246435845213851,0.9138075095305238,-0.010836074990861108,0.010927486972071129
NSW,nsw48,3,0.900857495611243,0.8976647954164014,-0.0031927001948415246,0.00214095284496057
NSW,nsw49,3,0.7555392561352038,0.7536820625662654,-0.0018571935689383572,0.002345531837392227
NSW,nsw50,3,0.7988935526929448,0.8096846303533235,0.010791077660378604,0.0005715365029161679
NSW,nsw51,3,0.7481703260146372,0.8062208915502329,0.05805056553559562,0.00572101913570188
NSW,nsw52,3,0.804998981511437,0.8095522244988437,0.004553242987406669,3.6892781476334516e-05
